delivery_id,order_id,delivery_status,delivery_time,rider_id
1,1,delivered,05:28:14,2
2,2,delivered,08:59:14,6
3,3,not delivered,08:19:47,22
4,4,delivered,00:49:19,17
5,5,not delivered,20:32:48,31
6,6,delivered,18:50:35,34
7,7,delivered,06:28:28,27
8,8,delivered,15:51:42,1
9,9,delivered,10:37:01,20
10,10,delivered,12:13:25,26
11,11,delivered,02:10:06,20
12,12,delivered,06:14:18,19
13,13,delivered,05:07:08,26
14,14,delivered,13:52:45,20
15,15,delivered,08:12:00,30
16,16,delivered,14:29:36,32
17,17,delivered,12:39:52,20
18,18,delivered,21:11:44,25
19,19,delivered,21:58:04,19
20,20,delivered,10:26:28,33
21,21,delivered,12:21:47,30
22,22,delivered,21:47:29,21
23,23,delivered,15:52:17,9
24,24,delivered,05:04:42,26
25,25,delivered,14:44:03,14
26,26,delivered,07:23:58,13
27,27,delivered,21:42:04,13
28,28,delivered,10:35:40,21
29,29,delivered,10:11:00,23
30,30,delivered,20:39:23,18
31,31,delivered,08:06:38,11
32,32,delivered,21:30:04,21
33,33,delivered,16:37:45,15
34,34,delivered,07:39:05,28
35,35,delivered,07:59:46,3
36,36,delivered,13:41:52,34
37,37,delivered,21:15:51,4
38,38,delivered,02:12:03,32
39,39,delivered,16:05:27,16
40,40,delivered,09:18:36,16
41,41,delivered,14:27:32,31
42,42,delivered,19:34:09,20
43,43,delivered,02:21:08,31
44,44,delivered,15:25:59,24
45,45,delivered,13:56:02,5
46,46,delivered,16:45:31,23
47,47,not fulfilled,20:45:43,24
48,48,delivered,00:07:49,11
49,49,delivered,05:53:27,28
50,50,delivered,23:55:05,27
51,51,delivered,00:10:52,20
52,52,delivered,23:27:10,19
53,53,delivered,14:36:52,8
54,54,delivered,13:28:40,17
55,55,delivered,00:37:15,22
56,56,order,03:13:33,3
57,57,delivered,19:27:21,22
58,58,delivered,11:55:21,4
59,59,delivered,19:07:55,2
60,60,delivered,13:42:12,33
61,61,delivered,21:28:14,21
62,62,delivered,23:24:18,7
63,63,delivered,15:50:05,9
64,64,delivered,07:13:10,16
65,65,delivered,08:14:46,25
66,66,delivered,02:50:44,32
67,67,delivered,20:41:50,25
68,68,not delivered,23:37:59,22
69,69,delivered,09:03:37,1
70,70,delivered,21:38:37,34
71,71,delivered,07:31:43,19
72,72,delivered,19:20:19,3
73,73,delivered,09:45:24,32
74,74,delivered,05:54:31,4
75,75,delivered,11:48:25,31
76,76,delivered,03:08:20,26
77,77,delivered,09:57:09,31
78,78,delivered,21:50:54,7
79,79,delivered,15:11:03,23
80,80,delivered,01:07:15,16
81,81,delivered,14:55:52,6
82,82,delivered,20:42:58,32
83,83,delivered,18:11:24,7
84,84,delivered,12:52:44,12
85,85,delivered,18:34:45,34
86,86,delivered,10:07:02,29
87,87,delivered,03:32:19,6
88,88,not delivered,09:42:34,34
89,89,delivered,06:44:06,33
90,90,delivered,19:35:13,9
91,91,delivered,12:41:57,17
92,92,delivered,17:13:04,10
93,93,delivered,13:52:09,11
94,94,delivered,21:35:26,8
95,95,not delivered,08:00:06,15
96,96,delivered,18:52:51,20
97,97,delivered,19:06:57,18
98,98,delivered,15:37:08,26
99,99,delivered,01:58:46,18
100,100,not fulfilled,16:18:17,30
101,101,delivered,10:54:05,27
102,102,delivered,17:59:31,19
103,103,delivered,12:00:39,8
104,104,delivered,21:38:02,34
105,105,delivered,11:03:27,33
106,106,delivered,09:19:30,8
107,107,delivered,20:32:52,20
108,108,delivered,09:22:06,22
109,109,delivered,02:33:32,13
110,110,delivered,15:25:23,15
111,111,delivered,05:08:22,29
112,112,delivered,12:26:47,9
113,113,delivered,13:31:35,8
114,114,delivered,03:06:50,9
115,115,order,21:53:21,4
116,116,delivered,19:09:46,16
117,117,delivered,21:52:27,16
118,118,delivered,07:07:08,10
119,119,delivered,02:55:03,13
120,120,delivered,13:30:03,22
121,121,delivered,07:20:57,27
122,122,order,15:17:58,19
123,123,delivered,21:00:43,7
124,124,delivered,19:23:15,34
125,125,delivered,01:37:58,8
126,126,delivered,06:34:46,31
127,127,delivered,11:28:40,23
128,128,delivered,05:38:17,2
129,129,delivered,15:43:34,26
130,130,delivered,19:17:13,26
131,131,not fulfilled,16:45:46,30
132,132,delivered,01:34:15,15
133,133,delivered,06:34:07,16
134,134,delivered,23:08:26,17
135,135,delivered,05:16:01,18
136,136,delivered,10:17:13,15
137,137,delivered,02:31:11,31
138,138,delivered,00:19:10,19
139,139,delivered,20:25:06,30
140,140,delivered,04:15:49,3
141,141,delivered,17:47:52,7
142,142,order,09:21:30,11
143,143,delivered,01:06:34,2
144,144,not delivered,13:24:09,15
145,145,delivered,05:07:14,32
146,146,delivered,19:09:11,3
147,147,delivered,19:52:18,20
148,148,delivered,00:55:59,5
149,149,delivered,03:36:27,5
150,150,delivered,15:27:30,21
151,151,delivered,17:34:31,32
152,152,delivered,22:05:15,15
153,153,delivered,01:58:22,8
154,154,delivered,06:52:14,16
155,155,delivered,11:03:44,28
156,156,delivered,02:15:04,10
157,157,delivered,15:26:46,20
158,158,delivered,19:48:11,3
159,159,delivered,18:32:19,17
160,160,delivered,12:39:03,14
161,161,delivered,15:20:41,30
162,162,delivered,03:06:04,18
163,163,delivered,19:00:48,14
164,164,delivered,18:36:02,6
165,165,delivered,12:32:12,19
166,166,delivered,03:32:51,33
167,167,delivered,05:09:43,19
168,168,delivered,22:10:32,10
169,169,delivered,22:49:43,3
170,170,delivered,03:51:00,32
171,171,delivered,05:04:17,19
172,172,delivered,08:48:56,31
173,173,delivered,13:54:39,26
174,174,delivered,21:26:32,6
175,175,delivered,04:54:06,1
176,176,delivered,21:05:22,30
177,177,delivered,13:12:25,26
178,178,delivered,03:17:29,31
179,179,delivered,19:49:24,3
180,180,delivered,08:16:40,28
181,181,order,13:33:13,29
182,182,delivered,06:22:26,11
183,183,delivered,22:36:24,23
184,184,delivered,00:09:57,21
185,185,not delivered,16:46:00,17
186,186,delivered,13:44:34,13
187,187,delivered,11:52:23,1
188,188,delivered,13:26:22,30
189,189,delivered,13:23:11,30
190,190,delivered,20:18:44,28
191,191,delivered,15:47:48,7
192,192,delivered,07:49:29,14
193,193,delivered,20:45:50,27
194,194,delivered,09:53:57,17
195,195,delivered,23:38:20,34
196,196,delivered,01:51:59,26
197,197,delivered,13:14:06,11
198,198,delivered,17:10:20,17
199,199,delivered,00:39:45,10
200,200,delivered,05:15:41,23
201,201,delivered,21:03:17,17
202,202,delivered,03:09:18,8
203,203,delivered,03:31:50,26
204,204,delivered,10:40:58,25
205,205,delivered,03:21:22,3
206,206,delivered,19:01:34,13
207,207,delivered,10:08:14,2
208,208,not fulfilled,14:47:51,19
209,209,delivered,12:06:37,18
210,210,delivered,10:39:06,18
211,211,delivered,05:56:02,29
212,212,delivered,11:25:01,34
213,213,delivered,21:23:23,14
214,214,not delivered,14:36:50,14
215,215,delivered,03:35:17,14
216,216,delivered,15:02:17,32
217,217,delivered,18:01:18,16
218,218,delivered,01:21:41,34
219,219,not delivered,10:48:22,18
220,220,delivered,15:54:41,30
221,221,delivered,03:20:55,9
222,222,order,22:55:03,1
223,223,delivered,08:44:10,25
224,224,not delivered,20:28:42,27
225,225,delivered,23:30:14,21
226,226,delivered,22:04:04,14
227,227,delivered,15:06:21,13
228,228,delivered,16:06:58,10
229,229,delivered,06:04:17,26
230,230,not delivered,07:01:57,8
231,231,delivered,03:59:35,17
232,232,not fulfilled,01:28:17,22
233,233,delivered,06:25:11,19
234,234,delivered,03:14:07,16
235,235,delivered,19:44:45,15
236,236,delivered,15:13:10,18
237,237,delivered,16:58:44,12
238,238,delivered,14:09:00,22
239,239,order,19:22:30,1
240,240,delivered,07:33:32,19
241,241,delivered,23:22:34,32
242,242,delivered,16:49:42,22
243,243,delivered,07:42:09,27
244,244,delivered,06:47:05,24
245,245,delivered,05:16:58,34
246,246,delivered,22:21:53,34
247,247,delivered,15:59:43,1
248,248,delivered,15:18:04,20
249,249,delivered,15:19:00,4
250,250,delivered,21:49:35,33
251,251,delivered,07:02:30,19
252,252,delivered,19:19:11,20
253,253,not delivered,17:12:19,27
254,254,delivered,13:06:08,25
255,255,delivered,13:26:29,30
256,256,delivered,18:32:23,16
257,257,delivered,21:00:29,26
258,258,delivered,19:06:52,22
259,259,delivered,22:13:33,4
260,260,delivered,20:19:46,20
261,261,delivered,16:06:15,8
262,262,delivered,09:25:30,8
263,263,delivered,13:09:40,8
264,264,delivered,15:30:18,13
265,265,delivered,14:26:52,7
266,266,delivered,01:41:41,20
267,267,delivered,05:22:32,1
268,268,not delivered,11:41:46,10
269,269,delivered,20:30:24,5
270,270,delivered,04:44:20,17
271,271,delivered,21:06:31,7
272,272,delivered,13:59:04,25
273,273,delivered,05:20:06,2
274,274,delivered,14:43:18,32
275,275,delivered,18:01:40,6
276,276,delivered,10:11:43,5
277,277,delivered,02:28:27,9
278,278,delivered,15:14:03,8
279,279,delivered,02:55:55,23
280,280,delivered,09:25:39,33
281,281,not delivered,01:21:26,2
282,282,delivered,21:58:56,22
283,283,delivered,11:04:26,3
284,284,order,16:14:41,32
285,285,delivered,01:01:49,2
286,286,delivered,01:24:49,31
287,287,delivered,19:57:23,8
288,288,not delivered,07:26:47,1
289,289,delivered,01:20:22,19
290,290,delivered,02:16:34,5
291,291,delivered,20:15:33,19
292,292,delivered,08:05:13,32
293,293,delivered,01:15:44,10
294,294,delivered,09:52:05,25
295,295,delivered,01:14:13,29
296,296,delivered,00:58:38,23
297,297,delivered,13:50:46,28
298,298,delivered,13:36:46,30
299,299,delivered,21:17:05,18
300,300,not fulfilled,08:42:16,24
301,301,delivered,14:01:28,29
302,302,not fulfilled,01:37:05,27
303,303,delivered,15:08:14,17
304,304,delivered,21:32:55,12
305,305,delivered,08:01:43,17
306,306,delivered,03:32:04,29
307,307,delivered,20:27:56,5
308,308,delivered,15:18:39,24
309,309,delivered,03:38:13,2
310,310,delivered,21:46:09,3
311,311,delivered,17:46:07,27
312,312,delivered,07:21:15,19
313,313,delivered,11:05:22,27
314,314,delivered,18:52:52,15
315,315,delivered,09:21:20,17
316,316,delivered,05:56:29,13
317,317,delivered,04:55:02,7
318,318,delivered,11:08:25,28
319,319,delivered,23:02:04,7
320,320,delivered,22:08:46,31
321,321,delivered,12:20:28,30
322,322,not fulfilled,01:36:33,22
323,323,delivered,23:56:46,3
324,324,delivered,09:10:07,23
325,325,delivered,07:42:17,7
326,326,delivered,17:34:51,3
327,327,delivered,23:28:33,28
328,328,delivered,13:31:16,29
329,329,delivered,23:04:20,15
330,330,delivered,22:44:20,5
331,331,order,20:40:00,3
332,332,delivered,04:31:52,31
333,333,delivered,00:27:04,14
334,334,delivered,20:22:30,16
335,335,delivered,19:22:34,26
336,336,order,14:20:15,27
337,337,delivered,22:08:49,26
338,338,delivered,06:56:54,33
339,339,delivered,13:25:16,29
340,340,delivered,14:26:14,20
341,341,delivered,23:01:51,2
342,342,not fulfilled,16:13:23,4
343,343,delivered,10:26:13,24
344,344,order,01:10:18,32
345,345,delivered,12:41:25,8
346,346,not fulfilled,00:00:47,27
347,347,delivered,13:32:47,21
348,348,delivered,12:18:27,31
349,349,delivered,07:24:01,33
350,350,delivered,12:49:14,2
351,351,delivered,03:35:10,6
352,352,delivered,23:53:36,34
353,353,order,10:44:36,3
354,354,delivered,10:41:15,32
355,355,delivered,03:27:44,6
356,356,delivered,14:55:07,13
357,357,delivered,12:00:18,27
358,358,delivered,19:56:23,21
359,359,delivered,16:38:16,24
360,360,delivered,16:45:53,11
361,361,delivered,22:12:12,20
362,362,delivered,02:22:40,11
363,363,delivered,11:39:49,20
364,364,order,03:46:13,10
365,365,delivered,10:36:49,25
366,366,delivered,19:09:09,6
367,367,delivered,14:27:42,33
368,368,delivered,12:45:30,25
369,369,delivered,20:53:17,11
370,370,delivered,17:57:27,8
371,371,delivered,06:39:35,28
372,372,delivered,11:33:12,29
373,373,delivered,19:17:02,1
374,374,delivered,18:52:01,4
375,375,delivered,01:23:01,7
376,376,delivered,20:45:03,29
377,377,delivered,10:53:43,2
378,378,delivered,13:53:42,26
379,379,delivered,01:17:38,29
380,380,delivered,08:35:22,20
381,381,delivered,03:58:05,6
382,382,delivered,06:40:23,1
383,383,delivered,09:03:24,9
384,384,delivered,06:11:18,18
385,385,delivered,14:53:40,34
386,386,delivered,11:41:51,28
387,387,delivered,16:49:13,6
388,388,delivered,15:08:29,12
389,389,delivered,20:22:55,7
390,390,delivered,11:19:10,12
391,391,delivered,23:25:30,28
392,392,delivered,07:48:59,3
393,393,delivered,05:32:10,2
394,394,delivered,02:19:50,4
395,395,delivered,05:19:19,13
396,396,delivered,00:30:10,24
397,397,delivered,14:45:15,25
398,398,delivered,21:46:55,19
399,399,delivered,07:56:38,2
400,400,delivered,02:41:14,26
401,401,delivered,20:11:27,25
402,402,delivered,05:10:25,27
403,403,delivered,05:20:08,1
404,404,delivered,01:19:27,28
405,405,delivered,17:23:07,22
406,406,delivered,22:37:16,22
407,407,delivered,01:07:55,19
408,408,not delivered,10:43:18,28
409,409,delivered,09:40:02,21
410,410,order,04:46:09,7
411,411,delivered,18:29:02,34
412,412,delivered,12:32:46,7
413,413,delivered,23:41:47,17
414,414,delivered,17:54:50,33
415,415,delivered,23:44:49,18
416,416,delivered,08:00:26,19
417,417,delivered,03:14:14,21
418,418,delivered,18:26:40,30
419,419,delivered,11:52:28,21
420,420,order,12:02:42,17
421,421,delivered,09:18:48,24
422,422,delivered,18:27:26,23
423,423,delivered,12:38:54,9
424,424,delivered,23:25:35,11
425,425,delivered,21:56:43,7
426,426,delivered,09:52:59,30
427,427,delivered,20:11:43,30
428,428,delivered,19:14:08,2
429,429,delivered,05:36:40,16
430,430,delivered,17:32:55,25
431,431,delivered,10:08:18,13
432,432,delivered,07:50:11,29
433,433,delivered,14:46:04,16
434,434,delivered,22:34:07,17
435,435,delivered,11:25:45,3
436,436,delivered,23:10:23,8
437,437,delivered,20:44:04,22
438,438,delivered,22:16:36,29
439,439,delivered,22:18:19,24
440,440,order,04:38:18,9
441,441,delivered,08:23:46,1
442,442,delivered,18:54:32,10
443,443,delivered,15:11:30,34
444,444,delivered,19:49:46,18
445,445,delivered,07:47:12,34
446,446,not delivered,01:28:36,6
447,447,delivered,22:45:29,15
448,448,delivered,04:33:19,5
449,449,delivered,17:56:50,7
450,450,delivered,03:34:37,13
451,451,delivered,20:12:37,29
452,452,order,16:30:32,22
453,453,delivered,09:40:28,33
454,454,delivered,05:11:04,32
455,455,delivered,03:48:14,13
456,456,not delivered,19:13:36,20
457,457,delivered,10:33:30,11
458,458,delivered,04:19:21,24
459,459,delivered,12:03:26,1
460,460,delivered,09:53:23,17
461,461,order,19:32:28,14
462,462,delivered,01:49:42,31
463,463,delivered,20:21:17,4
464,464,delivered,23:26:52,21
465,465,delivered,10:36:34,16
466,466,not fulfilled,11:57:49,21
467,467,delivered,21:45:16,13
468,468,delivered,16:03:58,4
469,469,delivered,09:36:21,32
470,470,delivered,02:36:59,33
471,471,delivered,20:21:04,10
472,472,delivered,12:36:18,2
473,473,order,18:43:49,15
474,474,not delivered,22:55:36,23
475,475,delivered,04:34:22,3
476,476,order,08:14:59,28
477,477,delivered,00:28:55,25
478,478,delivered,02:11:32,8
479,479,delivered,13:12:13,21
480,480,not fulfilled,00:24:51,2
481,481,delivered,07:44:05,20
482,482,delivered,07:11:36,10
483,483,delivered,19:51:13,4
484,484,delivered,04:47:51,34
485,485,order,08:39:20,24
486,486,delivered,01:34:24,27
487,487,delivered,03:30:29,5
488,488,delivered,15:30:57,20
489,489,delivered,15:31:47,7
490,490,delivered,23:06:45,6
491,491,delivered,10:45:29,20
492,492,delivered,23:57:51,3
493,493,not fulfilled,12:20:00,11
494,494,delivered,14:13:29,26
495,495,delivered,10:57:11,22
496,496,delivered,08:04:50,34
497,497,delivered,03:35:45,8
498,498,delivered,05:25:52,33
499,499,delivered,16:38:49,23
500,500,delivered,05:23:10,34
501,501,delivered,06:17:03,28
502,502,delivered,23:19:00,9
503,503,delivered,01:48:26,5
504,504,delivered,05:41:26,26
505,505,delivered,12:07:46,9
506,506,delivered,16:19:33,8
507,507,not fulfilled,04:04:56,30
508,508,delivered,13:37:10,30
509,509,not fulfilled,07:55:54,24
510,510,delivered,08:40:32,18
511,511,delivered,18:31:14,16
512,512,delivered,19:33:55,25
513,513,delivered,03:48:15,7
514,514,delivered,18:55:33,30
515,515,delivered,20:21:06,2
516,516,delivered,11:15:17,23
517,517,delivered,17:49:55,14
518,518,delivered,19:34:47,23
519,519,delivered,19:31:40,21
520,520,delivered,11:48:10,29
521,521,delivered,17:34:11,19
522,522,delivered,08:09:45,26
523,523,delivered,19:36:05,19
524,524,delivered,15:14:53,2
525,525,delivered,07:01:54,19
526,526,delivered,18:25:40,34
527,527,not delivered,17:22:04,21
528,528,delivered,17:20:06,31
529,529,order,19:28:31,30
530,530,delivered,15:55:45,23
531,531,delivered,22:38:31,2
532,532,delivered,10:14:36,20
533,533,delivered,22:48:22,4
534,534,delivered,07:38:49,13
535,535,order,03:25:36,6
536,536,not delivered,09:22:11,7
537,537,not delivered,20:40:05,23
538,538,delivered,21:23:06,4
539,539,delivered,02:11:12,24
540,540,delivered,18:11:57,24
541,541,delivered,17:56:50,3
542,542,not fulfilled,03:31:12,11
543,543,order,21:35:04,8
544,544,delivered,11:03:58,3
545,545,delivered,12:48:34,34
546,546,delivered,12:27:24,28
547,547,not fulfilled,09:31:50,25
548,548,delivered,20:20:47,12
549,549,delivered,21:55:27,4
550,550,delivered,14:11:57,7
551,551,delivered,01:59:24,1
552,552,delivered,12:52:14,12
553,553,delivered,13:43:36,17
554,554,delivered,08:53:57,25
555,555,delivered,04:42:44,29
556,556,delivered,17:20:10,12
557,557,delivered,03:25:52,7
558,558,delivered,15:06:07,31
559,559,delivered,13:39:23,16
560,560,delivered,06:46:20,13
561,561,delivered,06:57:41,30
562,562,delivered,10:42:46,13
563,563,delivered,04:35:20,11
564,564,delivered,23:59:20,11
565,565,delivered,12:49:36,4
566,566,delivered,09:43:39,25
567,567,delivered,15:58:57,30
568,568,delivered,12:16:56,12
569,569,delivered,22:56:34,27
570,570,delivered,14:46:28,27
571,571,delivered,06:15:13,34
572,572,delivered,20:19:13,24
573,573,delivered,01:12:13,27
574,574,delivered,00:44:13,29
575,575,delivered,18:50:51,26
576,576,delivered,10:39:59,32
577,577,delivered,02:20:59,22
578,578,delivered,18:57:53,21
579,579,delivered,04:10:26,11
580,580,delivered,22:54:57,18
581,581,delivered,12:30:10,31
582,582,delivered,21:36:22,32
583,583,delivered,04:07:59,26
584,584,delivered,00:39:57,32
585,585,delivered,15:20:57,2
586,586,not fulfilled,01:17:47,22
587,587,delivered,23:36:01,1
588,588,delivered,22:24:21,18
589,589,order,17:12:31,17
590,590,delivered,16:57:07,21
591,591,delivered,02:55:04,16
592,592,delivered,21:06:39,22
593,593,delivered,22:05:00,6
594,594,delivered,06:30:52,34
595,595,delivered,14:11:32,4
596,596,delivered,22:07:44,13
597,597,order,19:26:32,19
598,598,delivered,20:56:43,1
599,599,delivered,19:48:52,4
600,600,delivered,22:43:38,24
601,601,delivered,09:48:31,32
602,602,delivered,14:56:29,27
603,603,delivered,00:55:08,27
604,604,delivered,04:37:11,12
605,605,delivered,15:25:10,2
606,606,delivered,13:54:10,28
607,607,delivered,04:15:33,19
608,608,delivered,21:39:27,20
609,609,delivered,11:36:30,9
610,610,delivered,10:40:58,15
611,611,delivered,10:50:40,9
612,612,delivered,03:24:48,33
613,613,delivered,02:28:24,18
614,614,delivered,20:00:20,15
615,615,delivered,19:56:34,21
616,616,delivered,16:51:32,13
617,617,delivered,06:09:18,17
618,618,delivered,20:24:35,29
619,619,delivered,09:10:37,30
620,620,delivered,04:20:53,24
621,621,delivered,19:53:48,21
622,622,delivered,23:45:45,4
623,623,delivered,02:48:23,16
624,624,delivered,16:26:41,4
625,625,delivered,07:15:03,17
626,626,delivered,04:32:20,10
627,627,delivered,17:04:02,27
628,628,delivered,18:56:23,6
629,629,order,08:35:23,19
630,630,delivered,08:25:07,21
631,631,delivered,05:07:02,14
632,632,delivered,18:52:19,14
633,633,delivered,16:01:19,14
634,634,delivered,14:25:38,21
635,635,not delivered,02:39:06,16
636,636,delivered,14:24:46,20
637,637,delivered,02:17:26,24
638,638,delivered,20:47:43,8
639,639,delivered,08:01:44,18
640,640,delivered,15:27:53,3
641,641,not delivered,22:18:46,18
642,642,not delivered,22:28:51,16
643,643,delivered,09:23:05,4
644,644,delivered,10:47:40,10
645,645,delivered,04:52:43,19
646,646,delivered,11:41:29,22
647,647,order,19:21:34,10
648,648,delivered,17:02:33,33
649,649,order,15:07:20,22
650,650,delivered,23:26:44,23
651,651,delivered,16:51:06,1
652,652,delivered,17:40:06,14
653,653,delivered,02:16:28,5
654,654,delivered,12:23:13,22
655,655,delivered,21:31:02,3
656,656,delivered,13:44:37,7
657,657,delivered,08:34:05,31
658,658,delivered,01:20:19,31
659,659,delivered,16:28:04,2
